----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/17 23:30:00 428.719750 
    2016/06/17 23:45:00 428.719750 
    2016/06/18 00:00:00 428.719750 
    2016/06/18 00:15:00 428.723830 
    2016/06/18 00:30:00 428.720330 
    2016/06/18 00:45:00 428.723580 
    2016/06/18 01:00:00 428.723830 
    2016/06/18 01:15:00 428.727910 
    2016/06/18 01:30:00 428.727910 
    2016/06/18 01:45:00 428.727910 
    2016/06/18 02:00:00 428.728500 
    2016/06/18 02:15:00 428.730250 
    2016/06/18 02:30:00 428.731750 
    2016/06/18 02:45:00 428.732580 
    2016/06/18 03:00:00 428.730830 
    2016/06/18 03:15:00 428.732580 
    2016/06/18 03:30:00 428.734330 
    2016/06/18 03:45:00 428.736660 
    2016/06/18 04:00:00 428.737580 
    2016/06/18 04:15:00 428.741910 
    2016/06/18 04:30:00 428.736660 
    2016/06/18 04:45:00 428.741660 
    2016/06/18 05:00:00 428.740500 
    2016/06/18 05:15:00 428.742250 
    2016/06/18 05:30:00 428.743080 
    2016/06/18 05:45:00 428.742830 
    2016/06/18 06:00:00 428.743410 
    2016/06/18 06:15:00 428.743660 
    2016/06/18 06:30:00 428.745410 
    2016/06/18 06:45:00 428.741660 
    2016/06/18 07:00:00 428.744000 
    2016/06/18 07:15:00 428.742250 
    2016/06/18 07:30:00 428.742500 
    2016/06/18 07:45:00 428.742500 
    2016/06/18 08:00:00 428.740500 
    2016/06/18 08:15:00 428.742500 
    2016/06/18 08:30:00 428.740750 
    2016/06/18 08:45:00 428.739000 
    2016/06/18 09:00:00 428.739000 
    2016/06/18 09:15:00 428.740750 
    2016/06/18 09:30:00 428.741330 
    2016/06/18 09:45:00 428.742500 
    2016/06/18 10:00:00 428.740750 
    2016/06/18 10:15:00 428.742500 
    2016/06/18 10:30:00 428.740750 
    2016/06/18 10:45:00 428.744250 
    2016/06/18 11:00:00 428.743080 
    2016/06/18 11:15:00 428.746580 
    2016/06/18 11:30:00 428.744830 
    2016/06/18 11:45:00 428.744830 
    2016/06/18 12:00:00 428.744830 
    2016/06/18 12:15:00 428.746580 
    2016/06/18 12:30:00 428.746580 
    2016/06/18 12:45:00 428.748330 
    2016/06/18 13:00:00 428.744830 
    2016/06/18 13:15:00 428.748330 
    2016/06/18 13:30:00 428.746580 
    2016/06/18 13:45:00 428.748330 
    2016/06/18 14:00:00 428.746580 
    2016/06/18 14:15:00 428.748330 
    2016/06/18 14:30:00 428.752080 
    2016/06/18 14:45:00 428.757330 
    2016/06/18 15:00:00 428.758500 
    2016/06/18 15:15:00 428.760830 
    2016/06/18 15:30:00 428.760830 
    2016/06/18 15:45:00 428.763500 
    2016/06/18 16:00:00 428.765500 
    2016/06/18 16:15:00 428.767250 
    2016/06/18 16:30:00 428.768410 
    2016/06/18 16:45:00 428.764910 
    2016/06/18 17:00:00 428.768410 
    2016/06/18 17:15:00 428.770750 
    2016/06/18 17:30:00 428.769000 
    2016/06/18 17:45:00 428.771910 
    2016/06/18 18:00:00 428.771910 
    2016/06/18 18:15:00 428.773410 
    2016/06/18 18:30:00 428.775410 
    2016/06/18 18:45:00 428.774830 
    2016/06/18 19:00:00 428.774830 
    2016/06/18 19:15:00 428.777160 
    2016/06/18 19:30:00 428.777160 
    2016/06/18 19:45:00 428.776580 
    2016/06/18 20:00:00 428.776580 
    2016/06/18 20:15:00 428.777160 
    2016/06/18 20:30:00 428.777160 
    2016/06/18 20:45:00 428.778910 
    2016/06/18 21:00:00 428.782410 
    2016/06/18 21:15:00 428.782410 
    2016/06/18 21:30:00 428.786500 
    2016/06/18 21:45:00 428.781250 
    2016/06/18 22:00:00 428.784750 
    2016/06/18 22:15:00 428.781000 
    2016/06/18 22:30:00 428.779250 
    2016/06/18 22:45:00 428.779250 
    2016/06/18 23:00:00 428.779500 
    2016/06/18 23:15:00 428.782750 
    2016/06/18 23:30:00 428.782750 
    2016/06/18 23:45:00 428.781000 
    2016/06/19 00:00:00 428.782750 
    2016/06/19 00:15:00 428.782750 
    2016/06/19 00:30:00 428.784500 
    2016/06/19 00:45:00 428.781000 
    2016/06/19 01:00:00 428.782160 
    2016/06/19 01:15:00 428.778660 
    2016/06/19 01:30:00 428.778660 
    2016/06/19 01:45:00 428.780660 
    2016/06/19 02:00:00 428.779830 
    2016/06/19 02:15:00 428.780660 
    2016/06/19 02:30:00 428.780410 
    2016/06/19 02:45:00 428.778330 
    2016/06/19 03:00:00 428.778080 
    2016/06/19 03:15:00 428.778080 
    2016/06/19 03:30:00 428.775750 
    2016/06/19 03:45:00 428.777500 
    2016/06/19 04:00:00 428.777500 
    2016/06/19 04:15:00 428.777500 
    2016/06/19 04:30:00 428.776910 
    2016/06/19 04:45:00 428.776910 
    2016/06/19 05:00:00 428.776330 
    2016/06/19 05:15:00 428.776330 
    2016/06/19 05:30:00 428.776330 
    2016/06/19 05:45:00 428.778660 
    2016/06/19 06:00:00 428.776330 
    2016/06/19 06:15:00 428.776330 
    2016/06/19 06:30:00 428.773410 
    2016/06/19 06:45:00 428.776910 
    2016/06/19 07:00:00 428.772830 
    2016/06/19 07:15:00 428.771330 
    2016/06/19 07:30:00 428.771330 
    2016/06/19 07:45:00 428.771330 
    2016/06/19 08:00:00 428.766080 
    2016/06/19 08:15:00 428.764080 
    2016/06/19 08:30:00 428.764330 
    2016/06/19 08:45:00 428.761750 
    2016/06/19 09:00:00 428.761410 
    2016/06/19 09:15:00 428.763160 
    2016/06/19 09:30:00 428.761410 
    2016/06/19 09:45:00 428.760830 
